idaviso,idpostulante,sepostulo,fechanacimiento,sexo,age,nombre,estado,titulo,nombre_zona,ciudad,tipo_de_trabajo,nivel_laboral,nombre_area,denominacion_empresa
1112463470,mzbpMp9,0,1994-07-27,FEM,23,Secundario,En Curso,Desarrollador web .Net,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Programación,HV Talent
1112280978,JBdddE5,0,1997-02-21,FEM,21,Secundario,Graduado,Analista de Presupuestos,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Finanzas,Claro Argentina
1112303957,A3XPGr5,0,1985-03-16,MASC,33,Universitario,En Curso,CALDERERO / ARMADOR,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Producción,Adecco -Región GBA SUR
1112392676,EzpWLk4,0,1989-03-22,MASC,29,Secundario,Graduado,VENDEDOR ON TRADE - SECTOR GASTRONÓMICO,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,MUNTANER RRHH
1112369740,jkj9jWr,0,1992-06-02,MASC,26,Terciario/Técnico,En Curso,A- Promovendedora zona Sur,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,Grupo Gestión
1112369740,rmRYDZ9,1,1992-12-29,FEM,25,Posgrado,En Curso,A- Promovendedora zona Sur,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,Grupo Gestión
1112440170,6rPjV5v,0,1992-01-13,MASC,26,Secundario,Graduado,Importante Estudio de Cobranza: Busca Negociadoras/res para Mora Tardía.,Gran Buenos Aires,,Part-time,Senior / Semi-Senior,Call Center,BCN CYS SRL
1112440170,8MPOAXW,1,1993-07-09,FEM,24,Secundario,Graduado,Importante Estudio de Cobranza: Busca Negociadoras/res para Mora Tardía.,Gran Buenos Aires,,Part-time,Senior / Semi-Senior,Call Center,BCN CYS SRL
1112440170,8epl9z,1,1984-06-22,FEM,33,Terciario/Técnico,Graduado,Importante Estudio de Cobranza: Busca Negociadoras/res para Mora Tardía.,Gran Buenos Aires,,Part-time,Senior / Semi-Senior,Call Center,BCN CYS SRL
1112309768,eRWDpj,0,1979-05-09,MASC,39,Master,En Curso,Recepcionista/Telefonista eventual - Zona Tortuguitas GBANorte,Gran Buenos Aires,Argentina,Temporario,Senior / Semi-Senior,Recepcionista,Manpower
