id,sepostulo
0,1
1,1
2,1
3,0
4,0
5,1
6,1
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,0
55,1
56,0
57,1
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,0
70,1
71,1
72,1
73,1
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,0
101,1
102,0
103,1
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,0
112,1
113,0
114,1
115,0
116,0
117,1
118,0
119,1
120,1
121,0
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,0
133,1
134,0
135,0
136,1
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,1
146,0
147,0
148,1
149,0
150,0
151,1
152,0
153,0
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,1
162,1
163,1
164,0
165,1
166,1
167,0
168,0
169,0
170,1
171,0
172,0
173,1
174,0
175,1
176,0
177,0
178,1
179,0
180,1
181,1
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,1
190,0
191,1
192,1
193,1
194,0
195,0
196,0
197,1
198,1
199,1
200,0
201,0
202,1
203,0
204,1
205,0
206,0
207,0
208,1
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,1
233,0
234,0
235,0
236,1
237,1
238,1
239,1
240,0
241,0
242,0
243,1
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,0
262,0
263,0
264,0
265,1
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,1
295,0
296,1
297,1
298,0
299,1
300,0
301,0
302,0
303,0
304,0
305,1
306,0
307,1
308,1
309,0
310,0
311,1
312,0
313,0
314,1
315,0
316,0
317,1
318,1
319,0
320,1
321,1
322,0
323,1
324,1
325,0
326,1
327,0
328,1
329,0
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,0
338,0
339,1
340,1
341,0
342,1
343,1
344,0
345,0
346,1
347,1
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,1
356,0
357,0
358,0
359,0
360,0
361,1
362,0
363,0
364,1
365,0
366,1
367,0
368,0
369,1
370,1
371,1
372,0
373,0
374,0
375,1
376,1
377,0
378,1
379,0
380,1
381,1
382,0
383,0
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,0
394,0
395,0
396,0
397,1
398,1
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,1
412,1
413,1
414,1
415,0
416,1
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,1
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,0
440,0
441,1
442,0
443,0
444,1
445,1
446,1
447,0
448,0
449,0
450,1
451,0
452,1
453,0
454,1
455,1
456,1
457,0
458,1
459,1
460,0
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,1
477,0
478,1
479,0
480,0
481,1
482,0
483,0
484,0
485,0
486,1
487,0
488,1
489,0
490,1
491,1
492,0
493,1
494,1
495,1
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,0
505,0
506,1
507,1
508,1
509,1
510,0
511,1
512,0
513,0
514,1
515,1
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,1
524,0
525,1
526,0
527,0
528,0
529,0
530,1
531,0
532,0
533,0
534,1
535,0
536,0
537,1
538,0
539,0
540,1
541,0
542,1
543,0
544,0
545,0
546,0
547,1
548,0
549,1
550,1
551,0
552,0
553,0
554,0
555,1
556,0
557,1
558,0
559,1
560,0
561,1
562,1
563,0
564,0
565,0
566,1
567,0
568,0
569,1
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,1
580,1
581,0
582,0
583,0
584,0
585,0
586,1
587,1
588,0
589,1
590,0
591,0
592,0
593,1
594,1
595,1
596,0
597,0
598,1
599,0
600,0
601,1
602,1
603,0
604,0
605,0
606,0
607,0
608,0
609,1
610,0
611,0
612,1
613,0
614,0
615,0
616,1
617,0
618,0
619,0
620,0
621,0
622,0
623,1
624,1
625,0
626,1
627,1
628,0
629,0
630,0
631,1
632,1
633,0
634,0
635,1
636,0
637,0
638,0
639,0
640,1
641,0
642,0
643,0
644,0
645,0
646,0
647,1
648,1
649,1
650,1
651,1
652,0
653,1
654,1
655,0
656,0
657,0
658,0
659,1
660,0
661,0
662,1
663,0
664,1
665,1
666,1
667,1
668,0
669,1
670,1
671,0
672,0
673,0
674,1
675,0
676,1
677,0
678,0
679,1
680,1
681,0
682,0
683,0
684,0
685,0
686,0
687,1
688,0
689,1
690,1
691,1
692,0
693,0
694,1
695,0
696,0
697,1
698,0
699,0
700,0
701,0
702,1
703,0
704,0
705,0
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,0
715,0
716,1
717,0
718,0
719,0
720,0
721,1
722,0
723,0
724,1
725,1
726,1
727,1
728,0
729,0
730,0
731,0
732,0
733,0
734,1
735,1
736,0
737,0
738,1
739,1
740,1
741,1
742,0
743,0
744,1
745,1
746,0
747,0
748,0
749,0
750,1
751,1
752,0
753,0
754,1
755,0
756,0
757,1
758,0
759,1
760,1
761,0
762,0
763,0
764,1
765,0
766,0
767,0
768,1
769,0
770,0
771,0
772,0
773,0
774,0
775,1
776,1
777,0
778,0
779,0
780,1
781,0
782,0
783,0
784,0
785,1
786,0
787,0
788,1
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,1
805,1
806,0
807,1
808,0
809,0
810,0
811,1
